title#shloka_in_sanskrit#word_by_word_sn#translation_kn#translation_en#audio_url
BG 7.B#ॐ श्री परमात्मने नमः\nअथ सप्तमोऽध्यायः\nज्ञान विज्ञान योगः#ॐ श्री परमात्मने नमः अथ सप्तम अध्यायः ज्ञानविज्ञानयोगः#ಎಲ್ಲರಲ್ಲಿಯೂ ಅತ್ಯಂತ ಮಂಗಳಮಯ ದಿವ್ಯಸ್ವರೂಪಕ್ಕೆ ನಮಸ್ಕಾರಗಳು. ಇನ್ನು ಮುಂದೆ ಜ್ಞಾನ ವಿಜ್ಞಾನ ಯೋಗ ಎಂಬ ಏಳನೇ ಅಧ್ಯಾಯ.#Salutations to the most auspicious divine in all. Henceforth, the seventh chapter named Jnana Vijnana Yoga#data/gita-yoga/audio/kn-en/c07/7.0-GY.mp3
BG 7.1#श्रीभगवानुवाच |\nमय्यासक्तमना: पार्थ\nयोगं युञ्जन्मदाश्रय: |\nअसंशयं समग्रं मां\nयथा ज्ञास्यसि तच्छृणु ||1||#श्री भगवान् उवाच मयि आसक्त मनाः पार्थ योगम् युञ्जन् मद् आश्रयः असंशयम् समग्रम् माम् यथा ज्ञास्यसि तत् शृणु#ಪರಮ ಪ್ರಭುವು ಹೇಳಿದರು: ಈಗ ಕೇಳು, ಓ ಅರ್ಜುನ, ಭಕ್ತಿ ಯೋಗದ ಅಭ್ಯಾಸದ ಮೂಲಕ ಮನಸ್ಸನ್ನು ನನ್ನಲ್ಲಿ ಮಾತ್ರ ಸಂಪೂರ್ಣವಾಗಿ ನೆಲೆಗೊಳಿಸಿ ಮತ್ತು ನನ್ನನ್ನು ಆಶ್ರಯಿಸಿ, ನೀನು ಹೇಗೆ ನನ್ನನ್ನು ಸಂಪೂರ್ಣವಾಗಿ, ಯಾವುದೇ ಸಂಶಯವಿಲ್ಲದೆ ತಿಳಿದುಕೊಳ್ಳಬಲ್ಲೆ ಎಂಬುದನ್ನು.#The Supreme Lord said: Now listen, O Arjuna, how, with the mind attached exclusively to Me, and surrendering to Me through the practice of bhakti yog, you can know Me completely, free from doubt.#
BG 7.12#ये चैव सात्त्विका भावा\nराजसास्तामसाश्च ये |\nमत्त एवेति तान्विद्धि\nन त्वहं तेषु ते मयि ||12||#ये च एव सात्त्विकाः भावाः राजसाः तामसाः च ये मत्तः एव इति तान् विद्धि न तु अहम् तेषु ते मयि#ಸಾತ್ತ್ವಿಕ, ರಾಜಸ ಮತ್ತು ತಾಮಸ ಎಂಬ ಭೌತಿಕ ಅಸ್ತಿತ್ವದ ಮೂರು ಸ್ಥಿತಿಗಳೂ ನನ್ನ ಶಕ್ತಿಯಿಂದಲೇ ಪ್ರಕಟವಾಗುತ್ತವೆ. ಅವು ನನ್ನಲ್ಲಿವೆ, ಆದರೆ ನಾನು ಅವುಗಳನ್ನು ಮೀರಿದ್ದೇನೆ.#The three states of material existence—goodness, passion, and ignorance—are manifested by My energy. They are in Me, but I am beyond them.#
BG 7.13#त्रिभिर्गुणमयैर्भावैः\nएभिः सर्वमिदं जगत् |\nमोहितं नाभिजानाति\nमामेभ्यः परमव्ययम् ||13||#त्रिभिः गुण-मयैः भावैः एभिः सर्वम् इदम् जगत् मोहितम् न अभिजानाति माम् एभ्यः परम् अव्ययम्#ಮಾಯೆಯ ಮೂರು ಗುಣಗಳಿಂದ ಕೂಡಿದ ಈ ಭಾವಗಳಿಂದ ಮೋಹಿತರಾದ ಈ ಲೋಕದ ಜನರು ನನ್ನನ್ನು—ಈ ಎಲ್ಲಕ್ಕಿಂತ ಪರಮವಾದ, ಅವಿನಾಶಿಯಾದವನನ್ನು—ತಿಳಿದುಕೊಳ್ಳುವುದಿಲ್ಲ.#Deluded by the three modes of Maya, people in this world are unable to know Me, the imperishable and eternal.#
BG 7.14#दैवी ह्येषा गुणमयी\nमम माया दुरत्यया |\nमामेव ये प्रपद्यन्ते\nमायामेतां तरन्ति ते ||14||#दैवी हि एषा गुण-मयी मम माया दुरत्यया माम् एव ये प्रपद्यन्ते मायाम् एताम् तरन्ति ते#ಮೂರು ಗುಣಗಳಿಂದ ಕೂಡಿದ ನನ್ನ ದೈವೀ ಮಾಯಾಶಕ್ತಿಯನ್ನು ಜಯಿಸುವುದು ಬಹಳ ಕಷ್ಟ. ಆದರೆ ನನ್ನಲ್ಲಿ ಶರಣಾಗುವವರು ಈ ಮಾಯೆಯನ್ನು ಸುಲಭವಾಗಿ ದಾಟುತ್ತಾರೆ.#My divine energy Maya, consisting of the three modes of nature, is very difficult to overcome. But those who surrender unto Me cross over it easily.#
BG 7.15#न मां दुष्कृतिनो मूढाः\nप्रपद्यन्ते नराधमाः |\nमाययापहृतज्ञाना\nआसुरं भावमाश्रिताः ||15||#न माम् दुष्कृतिनः मूढाः प्रपद्यन्ते नर-अधमाः मायया अपहृत ज्ञानाः आसुरम् भावम् आश्रिताः#ನನ್ನಲ್ಲಿ ನಾಲ್ಕು ವಿಧದ ಜನರು ಶರಣಾಗುವುದಿಲ್ಲ—ಜ್ಞಾನವಿಲ್ಲದವರು, ನನ್ನನ್ನು ತಿಳಿಯುವ ಸಾಮರ್ಥ್ಯವಿದ್ದರೂ ತಮ್ಮ ಕೆಳಮಟ್ಟದ ಸ್ವಭಾವವನ್ನು ಅನುಸರಿಸುವವರು, ಭ್ರಮಿತ ಬುದ್ಧಿಯವರು ಮತ್ತು ಆಸುರೀ ಸ್ವಭಾವವನ್ನು ಆಶ್ರಯಿಸಿದವರು.#Four kinds of people do not surrender unto Me—those ignorant of knowledge, those who lazily follow their lower nature though capable of knowing Me, those with deluded intellect, and those with a demoniac nature.#
BG 7.16#चतुर्विधा भजन्ते मां\nजनाः सुकृतिनोऽर्जुन |\nआर्तो जिज्ञासुरर्थार्थी\nज्ञानी च भरतर्षभ ||16||#चतुः-विधाः भजन्ते माम् जनाः सु-कृतिनः अर्जुन आर्तः जिज्ञासुः अर्थ-अर्थी ज्ञानी च भरत-ऋषभ#ಓ ಭರತಶ್ರೇಷ್ಠ, ನಾಲ್ಕು ವಿಧದ ಪುಣ್ಯವಂತರು ನನ್ನ ಭಕ್ತಿಯಲ್ಲಿ ತೊಡಗುತ್ತಾರೆ—ದುಃಖಿತರು, ಜ್ಞಾನವನ್ನು ಹುಡುಕುವವರು, ಭೌತಿಕ ಸಂಪತ್ತನ್ನು ಬಯಸುವವರು ಮತ್ತು ಜ್ಞಾನದಲ್ಲಿ ಸ್ಥಿತರಾದವರು.#O best amongst the Bharatas, four kinds of pious people engage in My devotion—the distressed, the seekers of knowledge, the seekers of worldly possessions, and those who are situated in knowledge.#
BG 7.17#तेषां ज्ञानी नित्ययुक्तः\nएकभक्तिर्विशिष्यते |\nप्रियो हि ज्ञानिनोऽत्यर्थम्\nअहं स च मम प्रियः ||17||#तेषाम् ज्ञानी नित्य-युक्तः एक भक्तिः विशिष्यते प्रियः हि ज्ञानिनः अत्यर्थम् अहम् सः च मम प्रियः#ಇವರಲ್ಲಿ ಜ್ಞಾನದಿಂದ ನನ್ನನ್ನು ಆರಾಧಿಸುವವರು, ನಿರಂತರವಾಗಿ ಮತ್ತು ಏಕನಿಷ್ಠೆಯಿಂದ ನನ್ನಲ್ಲಿ ಭಕ್ತರಾಗಿರುವವರು ಶ್ರೇಷ್ಠರು. ನಾನು ಅವರಿಗೆ ಅತ್ಯಂತ ಪ್ರಿಯನು ಮತ್ತು ಅವರು ನನಗೆ ಅತ್ಯಂತ ಪ್ರಿಯರು.#Amongst these, I consider them to be the highest, who worship Me with knowledge, and are steadfastly and exclusively devoted to Me. I am very dear to them and they are very dear to Me.#
BG 7.18#उदाराः सर्व एवैते\nज्ञानी त्वात्मैव मे मतम् |\nआस्थितः स हि युक्तात्मा\nमामेवानुत्तमां गतिम् ||18||#उदाराः सर्वे एव एते ज्ञानी तु आत्मा एव मे मतम् आस्थितः सः हि युक्त-आत्मा माम् एव अनुत्तमाम् गतिम्#ನನ್ನ ಭಕ್ತರೆಲ್ಲರೂ ನಿಜವಾಗಿಯೂ ಉದಾತ್ತರು. ಆದರೆ ಜ್ಞಾನಿಗಳು, ಸ್ಥಿರವಾದ ಮನಸ್ಸಿನವರು, ತಮ್ಮ ಬುದ್ಧಿಯನ್ನು ನನ್ನಲ್ಲಿ ಲೀನಗೊಳಿಸಿ, ನನ್ನನ್ನೇ ಪರಮ ಗುರಿಯನ್ನಾಗಿ ಮಾಡಿಕೊಂಡಿರುವವರು—ನನ್ನ ಸ್ವರೂಪವೇ ಎಂದು ನಾನು ಪರಿಗಣಿಸುತ್ತೇನೆ.#All those who are devoted to Me are indeed noble. But those in knowledge, who are of steadfast mind, whose intellect is merged in Me, and who have made Me alone as their supreme goal, I consider as My very self.#
BG 7.19#बहूनां जन्मनामन्ते\nज्ञानवान्मां प्रपद्यते |\nवासुदेवः सर्वमिति\nस महात्मा सुदुर्लभः ||19||#बहूनाम् जन्मनाम् अन्ते ज्ञान-वान् माम् प्रपद्यते वासुदेवः सर्वम् इति सः महा-आत्मा सु-दुर्लभः#ಅನೇಕ ಜನ್ಮಗಳ ಆಧ್ಯಾತ್ಮಿಕ ಸಾಧನೆಯ ನಂತರ, ಜ್ಞಾನವನ್ನು ಪಡೆದವನು ಎಲ್ಲವೂ ವಾಸುದೇವನೇ ಎಂದು ತಿಳಿದು ನನ್ನಲ್ಲಿ ಶರಣಾಗುತ್ತಾನೆ. ಅಂತಹ ಮಹಾತ್ಮನು ನಿಜವಾಗಿಯೂ ಅತ್ಯಂತ ವಿರಳ.#After many births of spiritual practice, one who is endowed with knowledge surrenders unto Me, knowing Me to be all that is. Such a great soul is indeed very rare.#
BG 7.20#कामैस्तैस्तैर्हृतज्ञानाः\nप्रपद्यन्तेऽन्यदेवताः |\nतं तं नियममास्थाय\nप्रकृत्या नियताः स्वया ||20||#कामैः तैः तैः हृत-ज्ञानाः प्रपद्यन्ते अन्य देवताः तम् तम् नियमम् आस्थाय प्रकृत्या नियताः स्वया#ಯಾರ ಜ್ಞಾನವು ವಿವಿಧ ಭೌತಿಕ ಆಸೆಗಳಿಂದ ಅಪಹರಿಸಲ್ಪಟ್ಟಿದೆಯೋ ಅವರು ದೇವತೆಗಳಿಗೆ ಶರಣಾಗುತ್ತಾರೆ. ತಮ್ಮ ಸ್ವಭಾವದಿಂದ ನಿಯಂತ್ರಿತರಾಗಿ, ಅವರನ್ನು ಪ್ರಸನ್ನಗೊಳಿಸಲು ವಿಧಿಸಲಾದ ನಿಯಮಗಳನ್ನು ಅನುಸರಿಸುತ್ತಾರೆ.#Those whose knowledge has been carried away by material desires surrender to the celestial gods. Following their own nature, they worship the devatās, practicing rituals meant to propitiate these celestial personalities.#
BG 7.21#यो यो यां यां तनुं भक्तः\nश्रद्धयार्चितुमिच्छति |\nतस्य तस्याचलां श्रद्धां\nतामेव विदधाम्यहम् ||21||#यः यः याम् याम् तनुम् भक्तः श्रद्धया अर्चितुम् इच्छति तस्य तस्य अचलाम् श्रद्धाम् ताम् एव विदधामि अहम्#ಯಾವ ಭಕ್ತನು ಯಾವ ದೇವತಾ ರೂಪವನ್ನು ಶ್ರದ್ಧೆಯಿಂದ ಆರಾಧಿಸಲು ಬಯಸುತ್ತಾನೋ, ಆ ರೂಪದಲ್ಲಿ ಅವನ ಶ್ರದ್ಧೆಯನ್ನು ನಾನು ದೃಢಗೊಳಿಸುತ್ತೇನೆ.#Whatever celestial form a devotee seeks to worship with faith, I steady the faith of such a devotee in that form.#
BG 7.22#स तया श्रद्धया युक्तः\nतस्याराधनमीहते |\nलभते च ततः कामान्\nमयैव विहितान्हि तान् ||22||#सः तया श्रद्धया युक्तः तस्य आराधनम् ईहते लभते च ततः कामान् मया एव विहितान् हि तान्#ಆ ಶ್ರದ್ಧೆಯಿಂದ ಕೂಡಿದ ಭಕ್ತನು ನಿರ್ದಿಷ್ಟ ದೇವತೆಯನ್ನು ಆರಾಧಿಸುತ್ತಾನೆ ಮತ್ತು ತನ್ನ ಬಯಕೆಗಳನ್ನು ಪಡೆಯುತ್ತಾನೆ. ಆದರೆ ವಾಸ್ತವದಲ್ಲಿ ಆ ಫಲಗಳನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡುವವನು ನಾನೇ.#Endowed with faith, the devotee worships a particular celestial god and obtains the objects of desire. But in reality, I alone arrange these benefits.#
BG 7.23#अन्तवत्तु फलं तेषां\nतद्भवत्यल्पमेधसाम् |\nदेवान्देवयजो यान्ति\nमद्भक्ता यान्ति मामपि ||23||#अन्त-वत् तु फलम् तेषाम् तत् भवति अल्प-मेधसाम् देवान् देव-यजः यान्ति मत् भक्ताः यान्ति माम् अपि#ಆದರೆ ಅಲ್ಪಬುದ್ಧಿಯವರು ಪಡೆಯುವ ಫಲವು ನಾಶವಾಗುವಂತಹುದು. ದೇವತೆಗಳನ್ನು ಆರಾಧಿಸುವವರು ದೇವತೆಗಳ ಲೋಕಗಳಿಗೆ ಹೋಗುತ್ತಾರೆ; ನನ್ನ ಭಕ್ತರು ನನ್ನನ್ನೇ ಸೇರುತ್ತಾರೆ.#But the fruit gained by these people of little understanding is perishable. Those who worship the celestial gods go to the celestial abodes, while My devotees come to Me.#
BG 7.24#अव्यक्तं व्यक्तिमापन्नं\nमन्यन्ते मामबुद्धयः |\nपरं भावमजानन्तो\nममाव्ययमनुत्तमम् ||24||#अव्यक्तम् व्यक्तिम् आपन्नम् मन्यन्ते माम् अबुद्धयः परम् भावम् अजानन्तः मम अव्ययम् अनुत्तमम्#ಅಲ್ಪಬುದ್ಧಿಯವರು, ಪರಮ ಪ್ರಭುವಾದ ಶ್ರೀಕೃಷ್ಣನು ಮೊದಲು ನಿರಾಕಾರನಾಗಿದ್ದು ಈಗ ಈ ವ್ಯಕ್ತಿತ್ವವನ್ನು ಪಡೆದಿದ್ದಾನೆ ಎಂದು ಭಾವಿಸುತ್ತಾರೆ. ನನ್ನ ಅವಿನಾಶಿ ಮತ್ತು ಶ್ರೇಷ್ಠ ಸ್ವರೂಪವನ್ನು ಅವರು ಅರಿಯುವುದಿಲ್ಲ.#The less intelligent think that I, the Supreme Lord Shree Krishna, was formless earlier and have now assumed this personality. They do not understand the imperishable exalted nature of My personal form.#
BG 7.25#नाहं प्रकाशः सर्वस्य\nयोगमायासमावृतः |\nमूढोऽयं नाभिजानाति\nलोको मामजमव्ययम् ||25||#न अहम् प्रकाशः सर्वस्य योग-माया समावृतः मूढः अयम् न अभिजानाति लोकः माम् अजम् अव्ययम्#ನನ್ನ ದೈವೀ ಯೋಗಮಾಯಾ ಶಕ್ತಿಯಿಂದ ಆವೃತನಾಗಿರುವುದರಿಂದ ನಾನು ಎಲ್ಲರಿಗೂ ಪ್ರಕಟನಾಗಿರುವುದಿಲ್ಲ. ಆದ್ದರಿಂದ ಅಜ್ಞಾನಿಗಳು ನಾನು ಜನ್ಮರಹಿತ ಮತ್ತು ಅವಿನಾಶಿ ಎಂಬುದನ್ನು ತಿಳಿಯುವುದಿಲ್ಲ.#I am not manifest to everyone, being veiled by My divine Yogmaya energy. Hence, those without knowledge do not know that I am without birth and changeless.#
BG 7.26#वेदाहं समतीतानि\nवर्तमानानि चार्जुन |\nभविष्याणि च भूतानि\nमां तु वेद न कश्चन ||26||#वेद अहम् समतीतानि वर्तमानानि च अर्जुन भविष्याणि च भूतानि माम् तु वेद न कश्चन#ಓ ಅರ್ಜುನ, ನಾನು ಭೂತ, ವರ್ತಮಾನ ಮತ್ತು ಭವಿಷ್ಯವನ್ನು ತಿಳಿದಿದ್ದೇನೆ; ಎಲ್ಲಾ ಜೀವಿಗಳನ್ನೂ ತಿಳಿದಿದ್ದೇನೆ. ಆದರೆ ನನ್ನನ್ನು ಯಾರೂ ಸಂಪೂರ್ಣವಾಗಿ ತಿಳಿದಿಲ್ಲ.#O Arjuna, I know of past, present, and future, and I also know all living beings; but Me no one knows.#
BG 7.27#इच्छाद्वेषसमुत्थेन\nद्वन्द्वमोहेन भारत |\nसर्वभूतानि सम्मोहं\nसर्गे यान्ति परन्तप ||27||#इच्छा द्वेष समुत्थेन द्वन्द्व मोहेन भारत सर्व भूतानि सम्मोहम् सर्गे यान्ति परन्तप#ಓ ಭರತವಂಶೀಯ, ಇಚ್ಛೆ ಮತ್ತು ದ್ವೇಷದಿಂದ ದ್ವಂದ್ವದ ಮೋಹವು ಉಂಟಾಗುತ್ತದೆ. ಓ ಶತ್ರುಗಳ ಜಯಶಾಲಿ, ಎಲ್ಲಾ ಜೀವಿಗಳೂ ಈ ಭೌತಿಕ ಲೋಕದಲ್ಲಿ ಮೋಹಕ್ಕೆ ಒಳಗಾಗುತ್ತಾರೆ.#O descendant of Bharat, the dualities of desire and aversion arise from illusion. O conqueror of enemies, all living beings in the material realm are deluded by these.#
