title#shloka_in_sanskrit#transliteration_en#translation_en#word_by_word_en#audio_url
BG 8.B#ॐ श्री परमात्मने नमः\nअथ अष्टमोऽध्यायः\nअक्षर ब्रह्म योगः#om sri paramatmane namaha\natha ashtamodhyayaha\nakshara brahma yogaha#Salutations to the most auspicious divine in all. Henceforth, the eighth chapter named Akshara Brahma Yoga#om sri paramatmane—the most auspicious divine in all; namaha—salutations; atha—henceforth; ashtamodhyayaha—eighth chapter; akshara brahma yogaha—Yoga of the eternal Brahman#
BG 8.1#अर्जुन उवाच |\nकिं तद्ब्रह्म किमध्यात्मं\nकिं कर्म पुरुषोत्तम |\nअधिभूतं च किं प्रोक्तम्\nअधिदैवं किमुच्यते ||1||#arjuna uvācha\nkiṁ tad brahma kim adhyātmaṁ\nkiṁ karma puruṣhottama\nadhibhūtaṁ cha kiṁ proktam\nadhidaivaṁ kim uchyate#Arjuna asked: O Supreme Person (Purushottama), what is Brahman, what is the self (Adhyatma), and what is action (Karma)? What is said to constitute the material manifestation (Adhibhuta), and what is called the divine realm (Adhidaiva)?#arjunaḥ uvācha—Arjun said; kim—what; tat—that; brahma—Brahman; kim—what; adhyātmam—the individual soul; kim—what; karma—the principle of karma; puruṣha-uttama—Shree Krishna, the Supreme Divine Personality; adhibhūtam—the material manifestation; cha—and; kim—what; proktam—is called; adhidaivam—the Lord of the celestial gods; kim—what; uchyate—is called;#
BG 8.12#सर्वद्वाराणि संयम्य\nमनो हृदि निरुध्य च |\nमूर्ध्न्याधायात्मनः प्राणम्\nआस्थितो योगधारणाम् ||12||#sarva-dvārāṇi sanyamya\nmano hṛidi nirudhya cha\nmūrdhnyādhāyātmanaḥ prāṇam\nāsthito yoga-dhāraṇām#Restraining all the gates of the body and fixing the mind in the heart region, and then drawing the life-breath to the head, one should get established in steadfast yogic concentration.#sarva-dvārāṇi—all gates; sanyamya—restraining; manaḥ—the mind; hṛidi—in the heart region; nirudhya—confining; cha—and; mūrdhni—in the head; ādhāya—establish; ātmanaḥ—of the self; prāṇam—the life breath; āsthitaḥ—situated (in); yoga-dhāraṇām—the yogic concentration#
BG 8.13#ओमित्येकाक्षरं ब्रह्म\nव्याहरन्मामनुस्मरन् |\nयः प्रयाति त्यजन्देहं\nस याति परमां गतिम् ||13||#oṁ ityekākṣharaṁ brahma\nvyāharan mām anusmaran\nyaḥ prayāti tyajan dehaṁ\nsa yāti paramāṁ gatim#One who departs from the body while remembering Me, the Supreme Personality, and chanting the syllable Om, will attain the supreme goal.#om—sacred syllable representing the formless aspect of God; iti—thus; eka-akṣharam—one-syllabled; brahma—the Absolute Truth; vyāharan—chanting; mām—Me (Shree Krishna); anusmaran—remembering; yaḥ—who; prayāti—departs; tyajan—quitting; deham—the body; saḥ—he; yāti—attains; paramām—the supreme; gatim—goal#
BG 8.14#अनन्यचेताः सततं\nयो मां स्मरति नित्यशः |\nतस्याहं सुलभः पार्थ\nनित्ययुक्तस्य योगिनः ||14||#ananya-chetāḥ satataṁ\nyo māṁ smarati nityaśhaḥ\ntasyāhaṁ sulabhaḥ pārtha\nnitya-yuktasya yoginaḥ#O Parth, for those yogis who always think of Me with exclusive devotion, I am easily attainable because of their constant absorption in Me.#ananya-chetāḥ—without deviation of the mind; satatam—always; yaḥ—who; mām—Me; smarati—remembers; nityaśhaḥ—regularly; tasya—to him; aham—I; su-labhaḥ—easily attainable; pārtha—Arjun, the son of Pritha; nitya—constantly; yuktasya—engaged; yoginaḥ—of the yogis#
BG 8.15#मामुपेत्य पुनर्जन्म\nदुःखालयमशाश्वतम् |\nनाप्नुवन्ति महात्मानः\nसंसिद्धिं परमां गताः ||15||#mām upetya punar janma\nduḥkhālayam aśhāśhvatam\nnāpnuvanti mahātmānaḥ\nsansiddhiṁ paramāṁ gatāḥ#Having attained Me, the great souls are no more subject to rebirth in this world, which is transient and full of misery, because they have attained the highest perfection.#mām—Me; upetya—having attained; punaḥ—again; janma—birth; duḥkha-ālayam—place full of miseries; aśhāśhvatam—temporary; na—never; āpnuvanti—attain; mahā-ātmānaḥ—the great souls; sansiddhim—perfection; paramām—highest; gatāḥ—having achieved#
BG 8.16#आब्रह्मभुवनाल्लोकाः\nपुनरावर्तिनोऽर्जुन |\nमामुपेत्य तु कौन्तेय\nपुनर्जन्म न विद्यते ||16||#ā-brahma-bhuvanāl lokāḥ\npunar āvartino ’rjuna\nmām upetya tu kaunteya\npunar janma na vidyate#In all the worlds of this material creation, up to the highest abode of Brahma, you will be subject to rebirth, O Arjun. But on attaining My Abode, O son of Kunti, there is no further rebirth.#ā-brahma-bhuvanāt—up to the abode of Brahma; lokāḥ—worlds; punaḥ āvartinaḥ—subject to rebirth; arjuna—Arjun; mām—Mine; upetya—having attained; tu—but; kaunteya—Arjun, the son of Kunti; punaḥ janma—rebirth; na—never; vidyate—is#
BG 8.17#सहस्रयुगपर्यन्तम्\nअहर्यद्ब्रह्मणो विदुः |\nरात्रिं युगसहस्रान्तां\nतेऽहोरात्रविदो जनाः ||17||#sahasra-yuga-paryantam\nahar yad brahmaṇo viduḥ\nrātriṁ yuga-sahasrāntāṁ\nte ’ho-rātra-vido janāḥ#One day of Brahma (kalp) lasts a thousand cycles of the four ages (mahā yug) and his night also extends for the same span of time. The wise who know this understand the reality about day and night.#sahasra—one thousand; yuga—age; paryantam—until; ahaḥ—one day; yat—which; brahmaṇaḥ—of Brahma; viduḥ—know; rātrim—night; yuga-sahasra-antām—lasts one thousand yugas; te—they; ahaḥ-rātra-vidaḥ—those who know this day and night; janāḥ—people#
BG 8.18#अव्यक्ताद्व्यक्तयः सर्वाः\nप्रभवन्त्यहरागमे |\nरात्र्यागमे प्रलीयन्ते\nतत्रैवाव्यक्तसञ्ज्ञके ||18||#avyaktād vyaktayaḥ sarvāḥ\nprabhavantyahar-āgame\nrātryāgame pralīyante\ntatraivāvyakta-sanjñake#At the advent of Brahma’s day, all living beings emanate from the unmanifest source. And at the fall of his night, all embodied beings again merge into their unmanifest source.#avyaktāt—from the unmanifested; vyaktayaḥ—the manifested; sarvāḥ—all; prabhavanti—emanate; ahaḥ-āgame—at the advent of Brahma’s day; rātri-āgame—at the fall of Brahma’s night; pralīyante—they dissolve; tatra—into that; eva—certainly; avyakta-sanjñake—in that which is called the unmanifest#
BG 8.19#भूतग्रामः स एवायं\nभूत्वा भूत्वा प्रलीयते |\nरात्र्यागमेऽवशः पार्थ\nप्रभवत्यहरागमे ||19||#bhūta-grāmaḥ sa evāyaṁ\nbhūtvā bhūtvā pralīyate\nrātryāgame ’vaśhaḥ pārtha\nprabhavatyahar-āgame#Multitudes of beings repeatedly take birth with the advent of Brahma’s day, and are reabsorbed on the arrival of the cosmic night, to manifest again automatically on the advent of the next cosmic day.#bhūta-grāmaḥ—the multitude of beings; saḥ—these; eva—certainly; ayam—this; bhūtvā bhūtvā—repeatedly taking birth; pralīyate—dissolves; rātri-āgame—with the advent of night; avaśhaḥ—helpless; pārtha—Arjun, the son of Pritha; prabhavati—become manifest; ahaḥ-āgame—with the advent of day#
BG 8.20#परस्तस्मात्तु भावोऽन्यः\nअव्यक्तोऽव्यक्तात्सनातनः |\nयः स सर्वेषु भूतेषु\nनश्यत्सु न विनश्यति ||20||#paras tasmāt tu bhāvo ’nyo\n’vyakto ’vyaktāt sanātanaḥ\nyaḥ sa sarveṣhu bhūteṣhu\nnaśhyatsu na vinaśhyati#Transcendental to this manifest and unmanifest creation, there is yet another unmanifest eternal dimension. That realm does not cease even when all others do.#paraḥ—transcendental; tasmāt—than that; tu—but; bhāvaḥ—creation; anyaḥ—another; avyaktaḥ—unmanifest; avyaktāt—to the unmanifest; sanātanaḥ—eternal; yaḥ—who; saḥ—that; sarveṣhu—all; bhūteṣhu—in beings; naśhyatsu—cease to exist; na—never; vinaśhyati—is annihilated#
BG 8.21#अव्यक्तोऽक्षर इत्युक्तः\nतमाहुः परमां गतिम् |\nयं प्राप्य न निवर्तन्ते\nतद्धाम परमं मम ||21||#avyakto ’kṣhara ityuktas\ntam āhuḥ paramāṁ gatim\nyaṁ prāpya na nivartante\ntad dhāma paramaṁ mama#That unmanifest dimension is the supreme goal, and upon reaching it, one never returns to this mortal world. That is My Supreme Abode.#avyaktaḥ—unmanifest; akṣharaḥ—imperishable; iti—thus; uktaḥ—is said; tam—that; āhuḥ—is called; paramām—the supreme; gatim—destination; yam—which; prāpya—having reached; na—never; nivartante—come back; tat—that; dhāma—abode; paramam—the supreme; mama—My#
BG 8.22#पुरुषः स परः पार्थ\nभक्त्या लभ्यस्त्वनन्यया |\nयस्यान्तःस्थानि भूतानि\nयेन सर्वमिदं ततम् ||22||#puruṣhaḥ sa paraḥ pārtha\nbhaktyā labhyas tvananyayā\nyasyāntaḥ-sthāni bhūtāni\nyena sarvam idaṁ tatam#The Supreme Divine Personality is greater than all that exists. Although He is all-pervading and all living beings are situated in Him, yet He can be known only through devotion.#puruṣhaḥ—the Supreme Divine Personality; saḥ—he; paraḥ—greatest; pārtha—Arjun, the son of Pritha; bhaktyā—through devotion; labhyaḥ—is attainable; tu—indeed; ananyayā—without another; yasya—of whom; antaḥ-sthāni—situated within; bhūtāni—beings; yena—by whom; sarvam—all; idam—this; tatam—is pervaded#
BG 8.23#यत्र काले त्वनावृत्तिम्\nआवृत्तिं चैव योगिनः |\nप्रयाता यान्ति तं कालं\nवक्ष्यामि भरतर्षभ ||23||#yatra kāle tvanāvṛittim\nāvṛittiṁ chaiva yoginaḥ\nprayātā yānti taṁ kālaṁ\nvakṣhyāmi bharatarṣhabha#O best of the Bharatas (Arjuna), I shall now explain to you the different times at which departs a yogi to either attain the path of no return (liberation) or the path of return (rebirth).#yatra—where; kāle—time; tu—certainly; anāvṛittim—no return; āvṛittim—return; cha—and; eva—certainly; yoginaḥ—a yogi; prayātāḥ—having departed; yānti—attain; tam—that; kālam—time; vakṣhyāmi—I shall describe; bharata-ṛiṣhabha—Arjun, the best of the Bharatas;#
BG 8.24#अग्निर्ज्योतिरहः शुक्लः\nषण्मासा उत्तरायणम् |\nतत्र प्रयाता गच्छन्ति\nब्रह्म ब्रह्मविदो जनाः ||24||#agnir jyotir ahaḥ śhuklaḥ\nṣhaṇ-māsā uttarāyaṇam\ntatra prayātā gachchhanti\nbrahma brahma-vido janāḥ#Those who know the Supreme Brahman and depart from this world during the influence of the fiery light, the day, the bright fortnight of the moon, and the six months of the sun's northern course, attain that Supreme Brahman.#agniḥ—fire; jyotiḥ—light; ahaḥ—day; śhuklaḥ—the bright fortnight of the moon; ṣhaṭ-māsāḥ—six months; uttara-ayanam—the sun’s northern course; tatra—there; prayātāḥ—departed; gachchhanti—go; brahma—Brahman; brahma-vidaḥ—those who know the Brahman; janāḥ—persons;#
BG 8.25#धूमो रात्रिस्तथा कृष्णः\nषण्मासा दक्षिणायनम् |\nतत्र चान्द्रमसं ज्योतिः\nयोगी प्राप्य निवर्तते ||25||#dhūmo rātris tathā kṛiṣhṇaḥ\nṣhaṇ-māsā dakṣhiṇāyanam\ntatra chāndramasaṁ jyotir\nyogī prāpya nivartate#Departing from this world during the influence of smoke, the night, the dark fortnight of the moon, and the six months of the sun's southern course, a yogi reaches the lunar light and is destined to return (be reborn).#dhūmaḥ—smoke; rātriḥ—night; tathā—and; kṛiṣhṇaḥ—the dark fortnight of the moon; ṣhaṭ-māsāḥ—six months; dakṣhiṇa-ayanam—the sun’s southern course; tatra—there; chāndra-masam—lunar; jyotiḥ—light; yogī—a yogi; prāpya—attain; nivartate—comes back;#
BG 8.26#शुक्लकृष्णे गती ह्येते\nजगतः शाश्वते मते |\nएकया यात्यनावृत्तिम्\nअन्ययावर्तते पुनः ||26||#śhukla-kṛiṣhṇe gatī hyete\njagataḥ śhāśhvate mate\nekayā yātyanāvṛittim\nanyayāvartate punaḥ#These two paths of the world—the bright and the dark—are considered eternal; by the former, one ascends to the path of no return (liberation), while by the latter, one returns to the cycle of rebirth.#śhukla—bright; kṛiṣhṇe—dark; gatī—paths; hi—certainly; ete—these; jagataḥ—of the material world; śhāśhvate—eternal; mate—opinion; ekayā—by one; yāti—goes; anāvṛittim—to non return; anyayā—by the other; āvartate—comes back; punaḥ—again#
BG 8.27#नैते सृती पार्थ जानन्\nयोगी मुह्यति कश्चन |\nतस्मात्सर्वेषु कालेषु\nयोगयुक्तो भवार्जुन ||27||#naite sṛitī pārtha jānan\nyogī muhyati kaśhchana\ntasmāt sarveṣhu kāleṣhu\nyoga-yukto bhavārjuna#Yogis who know the secret of these two paths, O Parth, are never bewildered. Therefore, at all times be situated in Yog (union with God).#na—never; ete—these two; sṛitī—paths; pārtha—Arjun, the son of Pritha; jānan—knowing; yogī—a yogi; muhyati—bewildered; kaśhchana—any; tasmāt—therefore; sarveṣhu kāleṣhu—always; yoga-yuktaḥ—situated in Yog; bhava—be; arjuna—Arjun#
BG 8.28#वेदेषु यज्ञेषु तपःसु चैव\nदानेषु यत्पुण्यफलं प्रदिष्टम् |\nअत्येति तत्सर्वमिदं विदित्वा\nयोगी परं स्थानमुपैति चाद्यम् ||28||#vedeṣhu yajñeṣhu tapaḥsu chaiva\ndāneṣhu yat puṇya-phalaṁ pradiṣhṭam\natyeti tat sarvam idaṁ viditvā\nyogī paraṁ sthānam upaiti chādyam#The yogis, who know this secret, gain merit far beyond the fruits of Vedic rituals, the study of the Vedas, performance of sacrifices, austerities, and charities. Such yogis reach the Supreme Abode.#vedeṣhu—in the study of the Vedas; yajñeṣhu—in performance of sacrifices; tapaḥsu—in austerities; cha—and; eva—certainly; dāneṣhu—in giving charities; yat—which; puṇya-phalam—fruit of merit; pradiṣhṭam—is gained; atyeti—surpasses; tat sarvam—all; idam—this; viditvā—having known; yogī—a yogi; param—Supreme; sthānam—Abode; upaiti—achieves; cha—and; ādyam—original#
BG 8.E#ॐ तत् सत् इति श्रीमत् भगवत् गीतासु उपनिषत्सु\nब्रह्म-विद्यायां योग-शास्त्रे श्रीकृष्ण-अर्जुन-संवादे\nअक्षर-ब्रह्म योगो नाम अष्टमोऽध्यायः#Om tat sat iti\nSrimad Bhagavad Gitasu Upanishatsu\nBrahma Vidyayam yogashastre Sri-Krishna-arujuna samvade\nAkshara Brahma Yogo Nama ashtamodhyaha#Om Truth Is. Thus in the Upanishads of the glorious Bhagavad Gita, the science of the Eternal, the scripture of Yoga, the dialogue between Sri Krishna and Arjuna ends the Eighth discourse entitled The Yoga of the Eternal Brahman.#Om—Om; tat—That; sat—truth; iti—is; Srimad—Auspicious one; Bhagavad—said by lord; Gitasu—song; Upanishatsu—upanishad; Brahma Vidyayam—contains knowledge of Brahman; yogashastre—contains technology of removing duality; Sri Krishna arujuna samvade—a dialogue between Krishna and Arjuna; Akshara Brahma Yogo Nama—Yoga of the Eternal Brahman; ashtamodhyaha—Eighth chapter#
